id_customer,recency,frequency,monetary
4261,1142,0.0411,50.75
4264,2614,0.0068,27.41
4266,378,0.3082,415.79
4269,848,0.0274,24.04
4273,1185,0.0274,20.04
4276,1951,0.0411,47.36
4286,952,0.1233,240.60
4290,395,0.1027,245.70
4291,2749,0.0411,33.62
4293,2257,0.0137,90.94
4294,858,0.0342,80.44
4310,2537,0.0205,101.22
4313,224,0.2808,525.99
4316,1677,0.1370,109.36
4318,2263,0.0137,66.65
4319,1135,0.3082,446.21
4323,577,0.0411,28.86
4325,1646,0.0753,249.88
4328,1009,0.0342,107.19
4330,1675,0.0479,31.54
4332,1165,0.0205,118.08
4335,2506,0.0616,106.00
4341,1345,0.0342,24.13
4342,1875,0.0342,43.59
4343,1696,0.1301,381.64
4346,314,0.6986,624.40
4349,2132,0.0616,89.67
4351,302,0.1370,282.65
4352,932,0.0068,9.50
4353,393,0.0068,24.13
4356,2609,0.0753,140.20
4360,192,0.0753,119.60
4361,1101,0.2534,731.40
4363,925,0.0068,6.16
4365,629,0.0616,74.53
4368,758,0.0205,30.99
4375,626,1.3151,6318.06
4380,1964,0.4452,864.79
4381,114,0.0548,79.64
4385,1259,0.1712,236.80
4387,990,0.0822,81.15
4393,2303,0.0342,54.30
4399,215,0.0616,270.39
4402,865,0.1644,611.30
4427,1931,0.0274,159.04
4428,2805,0.0137,23.77
4440,487,0.0753,263.38
4444,1037,0.0068,18.81
4455,1673,0.0342,19.03
4456,2792,0.0411,72.40
4470,1540,0.0137,100.16
4474,1155,0.0137,15.21
4480,1825,0.0342,95.56
4485,1640,0.0890,116.26
4486,1861,0.0548,35.39
4491,1571,0.0137,28.26
4493,363,0.0205,48.28
4495,1243,0.0753,125.60
4499,1297,0.0137,26.37
4502,1860,0.0959,143.11
4516,1574,0.0274,8.92
4517,135,1.0959,1165.72
4526,2469,0.0685,127.78
4533,2529,0.0342,164.84
4541,259,0.4110,631.29
4555,247,0.5616,710.54
4557,2326,0.0137,158.31
4558,2505,0.0137,67.13
4566,1475,0.1438,348.49
4569,2098,0.0205,90.02
4571,1903,0.0411,100.54
4573,565,0.0548,64.65
4575,2561,0.0068,57.50
4580,1891,0.0548,61.75
4591,815,0.0342,87.66
4597,1497,0.0137,4.68
4601,366,0.0205,44.66
4605,572,0.5241,718.57
4612,161,0.0345,28.82
4618,1419,0.0345,56.50
4620,2667,0.0621,143.16
4623,1702,0.0069,6.66
4624,1008,0.1034,289.01
4632,1850,0.0138,19.63
4647,2485,0.0690,166.40
4652,179,0.3103,891.72
4656,579,0.4069,466.57
4657,814,0.0138,38.78
4659,828,0.1310,264.39
4674,1393,0.1517,140.15
4675,1714,0.0069,15.46
4682,1444,0.0069,69.29
4684,1048,0.0138,28.75
4689,133,0.2000,237.34
4693,1091,0.0276,68.32
4698,2394,0.0276,27.03
4700,229,0.1931,254.77
4701,2258,0.2000,285.72
4707,750,0.0138,11.90
4710,2207,0.0138,44.76
4712,1576,0.1862,261.70
4715,161,0.0207,27.59
4718,855,0.3103,544.41
4722,447,0.0207,21.91
4724,1165,0.2207,645.13
4728,191,0.0414,88.98
4729,2116,0.3517,850.01
4732,1231,0.0759,134.65
4735,145,0.2069,491.24
4738,2011,0.0138,61.18
4741,1031,0.2138,613.61
4745,2374,0.0552,46.05
4747,1035,0.4897,1316.42
4751,1476,0.1448,373.07
4752,854,0.0276,23.68
4760,662,0.3241,1236.31
4764,2387,0.0276,33.95
4775,127,0.2621,618.70
4776,472,0.0207,12.93
4778,773,0.0621,92.77
4781,221,0.0345,50.56
4786,939,0.0207,30.10
4792,164,0.2069,292.43
4798,391,0.0345,87.34
